"","Time","Lon","Lat","Alt","Ele"
"1","2015-02-22 15:58:30",-73.2905779,-44.1704291,NA,0.06
"2","2015-02-22 15:58:30",-73.2905833,-44.1704334,0.142857142857143,0.005
"3","2015-02-22 15:58:31",-73.2905879,-44.1704379,3.80952380952381,-0.012
"4","2015-02-22 15:58:31",-73.2905904,-44.1704407,0.0952380952380952,0.02
"5","2015-02-22 15:58:32",-73.290594,-44.1704448,0.0476190476190476,0.052
"6","2015-02-22 15:58:32",-73.2905963,-44.1704476,0.0476190476190476,0.049
"7","2015-02-22 15:58:33",-73.2906004,-44.1704518,-0.0476190476190476,0.031
"8","2015-02-22 15:58:33",-73.2906035,-44.1704546,-0.142857142857143,0.022
"9","2015-02-22 15:58:34",-73.2906086,-44.1704584,0.0476190476190476,0.081
"10","2015-02-22 15:58:34",-73.2906119,-44.170461,0.19047619047619,0.113
"11","2015-02-22 15:58:35",-73.2906163,-44.1704654,0.428571428571429,0.117
"12","2015-02-22 15:58:35",-73.290618,-44.1704694,0.952380952380952,0.604
"13","2015-02-22 15:58:36",-73.2906188,-44.170474,1.52380952380952,1.097
"14","2015-02-22 15:58:36",-73.2906251,-44.1704875,1.71428571428571,1.839
"15","2015-02-22 15:58:37",-73.2906324,-44.1704988,2.28571428571429,2.198
"16","2015-02-22 15:58:37",-73.2906424,-44.170513,2.33333333333333,2.815
"17","2015-02-22 15:58:38",-73.2906477,-44.1705197,3.0952380952381,3.094
"18","2015-02-22 15:58:38",-73.2906554,-44.1705273,3.66666666666667,3.387
"19","2015-02-22 15:58:39",-73.290665,-44.1705363,3.71428571428571,3.611
"20","2015-02-22 15:58:39",-73.2906729,-44.1705445,4.19047619047619,3.854
"21","2015-02-22 15:58:40",-73.2906855,-44.1705601,4.61904761904762,4.411
"22","2015-02-22 15:58:40",-73.2906937,-44.1705713,4.95238095238095,4.875
"23","2015-02-22 15:58:41",-73.2907042,-44.1705878,5.66666666666667,5.545
"24","2015-02-22 15:58:42",-73.2907106,-44.1705981,6.04761904761905,6.02
"25","2015-02-22 15:58:42",-73.290721,-44.1706124,6.80952380952381,6.616
"26","2015-02-22 15:58:43",-73.2907321,-44.1706265,7.66666666666667,7.216
"27","2015-02-22 15:58:43",-73.2907398,-44.1706364,7.90476190476191,7.639
"28","2015-02-22 15:58:44",-73.2907515,-44.1706535,8.52380952380952,8.391
"29","2015-02-22 15:58:44",-73.290759,-44.1706664,9.04761904761905,8.883
"30","2015-02-22 15:58:45",-73.2907695,-44.1706876,10,9.627
