"","Time","Lon","Lat","Alt","Ele"
"68","2015-02-22 17:05:14",-73.258416,-44.2023291,42.7619047619048,45.685
"69","2015-02-22 17:05:14",-73.2583996,-44.2023388,43.5238095238095,46.254
"70","2015-02-22 17:05:15",-73.2583732,-44.2023531,43.9523809523809,47.055
"71","2015-02-22 17:05:16",-73.2583545,-44.2023624,44.7142857142857,47.658
"72","2015-02-22 17:05:16",-73.2583265,-44.2023749,45.3333333333333,48.625
"73","2015-02-22 17:05:17",-73.2582995,-44.2023864,46.4285714285714,49.539
"74","2015-02-22 17:05:17",-73.2582827,-44.2023937,47.2857142857143,50.125
"75","2015-02-22 17:05:18",-73.258259,-44.2024045,47.9523809523809,51.023
"76","2015-02-22 17:05:18",-73.2582435,-44.2024118,48.7142857142857,51.59
"77","2015-02-22 17:05:19",-73.2582196,-44.202423,49.1904761904762,52.418
"78","2015-02-22 17:05:19",-73.2581938,-44.2024347,50.0476190476191,53.271
"79","2015-02-22 17:05:20",-73.2581756,-44.2024429,50.8095238095238,53.864
"80","2015-02-22 17:05:20",-73.2581475,-44.2024548,51.0952380952381,54.517
"81","2015-02-22 17:05:21",-73.2581287,-44.2024622,51.7142857142857,54.677
"82","2015-02-22 17:05:21",-73.2581012,-44.2024727,51.9047619047619,54.875
"83","2015-02-22 17:05:22",-73.2580753,-44.2024822,51.8571428571429,55.071
"84","2015-02-22 17:05:22",-73.258059,-44.2024876,52.1904761904762,55.072
"85","2015-02-22 17:05:23",-73.2580363,-44.2024953,52.1904761904762,55.109
"86","2015-02-22 17:05:23",-73.2580222,-44.2025005,52.3333333333333,55.15
"87","2015-02-22 17:05:24",-73.2580029,-44.2025091,52.3333333333333,55.127
"88","2015-02-22 17:05:24",-73.2579856,-44.2025161,52.3333333333333,55.132
"89","2015-02-22 17:05:25",-73.2579748,-44.2025282,52.3333333333333,55.09
"90","2015-02-22 17:05:25",-73.2579635,-44.202537,52.1904761904762,55.033
"91","2015-02-22 17:05:26",-73.2579467,-44.2025514,52.2380952380952,54.958
"92","2015-02-22 17:05:26",-73.2579296,-44.2025657,52.1904761904762,54.923
"93","2015-02-22 17:05:27",-73.2579181,-44.202575,52.1904761904762,54.876
"94","2015-02-22 17:05:27",-73.2579017,-44.2025883,52.1428571428571,54.863
"95","2015-02-22 17:05:28",-73.2578915,-44.2025967,52.1904761904762,54.866
"96","2015-02-22 17:05:28",-73.257878,-44.202609,52.2380952380952,54.857
"97","2015-02-22 17:05:29",-73.2578669,-44.2026219,52.3333333333333,54.893
"98","2015-02-22 17:05:29",-73.2578607,-44.2026306,52.3333333333333,54.861
"99","2015-02-22 17:05:30",-73.2578518,-44.2026439,52.7619047619048,55.063
"100","2015-02-22 17:05:30",-73.2578455,-44.2026522,52.8095238095238,55.328
"101","2015-02-22 17:05:31",-73.2578344,-44.2026629,53.0952380952381,55.609
"102","2015-02-22 17:05:31",-73.2578261,-44.2026694,53.3809523809524,56.057
"103","2015-02-22 17:05:32",-73.2578135,-44.2026775,53.5714285714286,56.441
"104","2015-02-22 17:05:33",-73.2578028,-44.202685,53.8571428571429,56.586
"105","2015-02-22 17:05:33",-73.2577975,-44.2026905,54.0476190476191,56.66
"106","2015-02-22 17:05:34",-73.2577916,-44.2027001,54.0476190476191,56.714
"107","2015-02-22 17:05:34",-73.2577884,-44.2027076,54.0476190476191,56.764
"108","2015-02-22 17:05:35",-73.2577831,-44.2027202,54,56.802
"109","2015-02-22 17:05:35",-73.2577787,-44.2027292,54.0476190476191,56.801
"110","2015-02-22 17:05:36",-73.25777,-44.2027428,54.0476190476191,56.774
"111","2015-02-22 17:05:36",-73.2577596,-44.2027555,54.1428571428571,56.706
"112","2015-02-22 17:05:37",-73.2577525,-44.2027632,54.0476190476191,56.673
"113","2015-02-22 17:05:37",-73.2577421,-44.2027725,53.8571428571429,56.658
"114","2015-02-22 17:05:38",-73.2577362,-44.2027773,53.8571428571429,56.648
"115","2015-02-22 17:05:38",-73.2577294,-44.2027829,53.7142857142857,56.665
"116","2015-02-22 17:05:39",-73.2577267,-44.2027864,53.7142857142857,56.722
"117","2015-02-22 17:05:39",-73.2577244,-44.2027916,53.8571428571429,56.756
"118","2015-02-22 17:05:40",-73.2577235,-44.2027975,53.8571428571429,56.783
"119","2015-02-22 17:05:40",-73.2577231,-44.2028016,53.8095238095238,56.793
"120","2015-02-22 17:05:41",-73.2577209,-44.2028077,54,56.836
"121","2015-02-22 17:05:41",-73.257717,-44.2028115,54,56.852
